customer_id,customer_name,region,onboarding_date,credit_limit
C0001,Customer 0001,North China,2018-05-03,10000000
C0002,Customer 0002,Export,2022-09-28,500000
C0003,Customer 0003,West China,2019-07-04,10000000
C0004,Customer 0004,Central China,2023-03-30,10000000
C0005,Customer 0005,Export,2023-02-22,5000000
C0006,Customer 0006,West China,2025-06-04,5000000
C0007,Customer 0007,East China,2019-09-10,10000000
C0008,Customer 0008,East China,2017-11-27,2000000
C0009,Customer 0009,Central China,2018-02-06,500000
C0010,Customer 0010,Central China,2024-09-07,2000000
C0011,Customer 0011,Central China,2019-05-12,2000000
C0012,Customer 0012,North China,2020-11-25,5000000
C0013,Customer 0013,West China,2025-05-14,500000
C0014,Customer 0014,North China,2025-02-09,500000
C0015,Customer 0015,West China,2023-04-03,2000000
C0016,Customer 0016,Central China,2020-03-24,1000000
C0017,Customer 0017,Export,2024-03-26,10000000
C0018,Customer 0018,East China,2020-06-19,2000000
C0019,Customer 0019,Central China,2021-01-29,5000000
C0020,Customer 0020,Central China,2018-01-07,10000000
C0021,Customer 0021,Central China,2023-03-22,500000
C0022,Customer 0022,West China,2021-10-09,10000000
C0023,Customer 0023,Central China,2022-07-05,10000000
C0024,Customer 0024,Central China,2019-11-26,10000000
C0025,Customer 0025,West China,2022-05-17,10000000
C0026,Customer 0026,West China,2017-04-14,1000000
C0027,Customer 0027,South China,2025-08-03,500000
C0028,Customer 0028,West China,2024-11-26,500000
C0029,Customer 0029,West China,2025-01-17,5000000
C0030,Customer 0030,South China,2022-04-10,5000000
C0031,Customer 0031,East China,2019-07-27,5000000
C0032,Customer 0032,Central China,2024-07-24,10000000
C0033,Customer 0033,West China,2019-10-26,5000000
C0034,Customer 0034,North China,2024-07-06,10000000
C0035,Customer 0035,West China,2024-04-03,5000000
C0036,Customer 0036,Central China,2021-07-05,1000000
C0037,Customer 0037,North China,2020-04-20,500000
C0038,Customer 0038,South China,2017-05-16,10000000
C0039,Customer 0039,West China,2022-02-20,5000000
C0040,Customer 0040,South China,2021-01-14,2000000
C0041,Customer 0041,Central China,2024-10-08,5000000
C0042,Customer 0042,Central China,2022-09-26,5000000
C0043,Customer 0043,Export,2023-04-04,500000
C0044,Customer 0044,North China,2020-04-03,5000000
C0045,Customer 0045,Central China,2018-02-07,10000000
C0046,Customer 0046,Central China,2019-11-27,1000000
C0047,Customer 0047,Export,2021-10-10,5000000
C0048,Customer 0048,Export,2017-09-21,2000000
C0049,Customer 0049,North China,2022-08-04,500000
C0050,Customer 0050,Export,2019-03-09,5000000
C0051,Customer 0051,Central China,2018-08-23,500000
C0052,Customer 0052,East China,2018-01-13,5000000
C0053,Customer 0053,West China,2023-07-07,500000
C0054,Customer 0054,South China,2023-11-05,1000000
C0055,Customer 0055,West China,2018-05-10,500000
C0056,Customer 0056,West China,2025-06-07,2000000
C0057,Customer 0057,Export,2024-07-01,2000000
C0058,Customer 0058,East China,2018-09-26,2000000
C0059,Customer 0059,West China,2024-06-15,10000000
C0060,Customer 0060,Central China,2025-08-18,1000000
C0061,Customer 0061,South China,2023-02-14,5000000
C0062,Customer 0062,South China,2023-08-06,10000000
C0063,Customer 0063,West China,2024-10-07,2000000
C0064,Customer 0064,Central China,2017-12-12,1000000
C0065,Customer 0065,West China,2018-07-09,2000000
C0066,Customer 0066,Central China,2022-09-11,5000000
C0067,Customer 0067,West China,2018-09-01,1000000
C0068,Customer 0068,East China,2021-03-21,500000
C0069,Customer 0069,East China,2021-05-14,500000
C0070,Customer 0070,Export,2020-11-22,2000000
C0071,Customer 0071,East China,2025-08-19,500000
C0072,Customer 0072,Central China,2022-09-22,2000000
C0073,Customer 0073,North China,2024-08-28,5000000
C0074,Customer 0074,East China,2020-08-28,5000000
C0075,Customer 0075,West China,2022-03-27,10000000
C0076,Customer 0076,South China,2018-12-01,10000000
C0077,Customer 0077,South China,2022-10-30,5000000
C0078,Customer 0078,North China,2023-12-29,5000000
C0079,Customer 0079,South China,2023-09-17,500000
C0080,Customer 0080,Central China,2023-02-20,500000
C0081,Customer 0081,Export,2019-03-12,1000000
C0082,Customer 0082,Export,2017-07-05,10000000
C0083,Customer 0083,Central China,2017-07-17,1000000
C0084,Customer 0084,Export,2022-06-05,500000
C0085,Customer 0085,Export,2018-06-13,10000000
C0086,Customer 0086,West China,2019-06-15,1000000
C0087,Customer 0087,Export,2018-10-19,1000000
C0088,Customer 0088,North China,2021-05-17,5000000
C0089,Customer 0089,Central China,2022-12-24,500000
C0090,Customer 0090,North China,2021-04-19,1000000
C0091,Customer 0091,South China,2020-11-10,2000000
C0092,Customer 0092,Central China,2022-03-16,5000000
C0093,Customer 0093,Central China,2020-03-24,1000000
C0094,Customer 0094,West China,2020-08-27,5000000
C0095,Customer 0095,East China,2021-12-27,10000000
C0096,Customer 0096,North China,2022-11-20,500000
C0097,Customer 0097,South China,2019-05-28,500000
C0098,Customer 0098,Central China,2018-01-17,2000000
C0099,Customer 0099,West China,2021-07-30,1000000
C0100,Customer 0100,North China,2017-04-22,1000000
C0101,Customer 0101,West China,2020-12-11,10000000
C0102,Customer 0102,South China,2023-01-15,500000
C0103,Customer 0103,Export,2023-12-18,2000000
C0104,Customer 0104,West China,2023-03-27,1000000
C0105,Customer 0105,North China,2023-05-24,10000000
C0106,Customer 0106,Export,2020-01-04,10000000
C0107,Customer 0107,East China,2018-06-28,2000000
C0108,Customer 0108,Central China,2018-01-30,1000000
C0109,Customer 0109,Export,2018-03-11,500000
C0110,Customer 0110,North China,2025-07-07,1000000
C0111,Customer 0111,Export,2024-03-30,500000
C0112,Customer 0112,North China,2022-09-07,2000000
C0113,Customer 0113,East China,2023-08-06,2000000
C0114,Customer 0114,South China,2020-07-12,2000000
C0115,Customer 0115,East China,2019-11-16,500000
C0116,Customer 0116,North China,2021-08-14,5000000
C0117,Customer 0117,East China,2017-03-05,500000
C0118,Customer 0118,East China,2019-08-22,2000000
C0119,Customer 0119,East China,2018-05-19,10000000
C0120,Customer 0120,North China,2023-06-20,2000000
C0121,Customer 0121,Central China,2025-09-29,10000000
C0122,Customer 0122,Export,2024-01-07,10000000
C0123,Customer 0123,Central China,2017-06-05,2000000
C0124,Customer 0124,South China,2023-10-26,10000000
C0125,Customer 0125,Central China,2022-03-11,500000
C0126,Customer 0126,North China,2024-09-12,10000000
C0127,Customer 0127,North China,2024-08-23,5000000
C0128,Customer 0128,North China,2020-04-10,500000
C0129,Customer 0129,Export,2025-04-01,5000000
C0130,Customer 0130,North China,2017-04-07,2000000
C0131,Customer 0131,Export,2020-04-01,500000
C0132,Customer 0132,Central China,2020-05-01,2000000
C0133,Customer 0133,East China,2023-07-27,10000000
C0134,Customer 0134,South China,2020-11-03,10000000
C0135,Customer 0135,Export,2017-08-18,500000
C0136,Customer 0136,West China,2018-10-27,500000
C0137,Customer 0137,East China,2018-04-30,1000000
C0138,Customer 0138,North China,2022-11-11,10000000
C0139,Customer 0139,Export,2024-04-07,2000000
C0140,Customer 0140,Central China,2017-04-28,10000000
C0141,Customer 0141,North China,2018-06-02,5000000
C0142,Customer 0142,Central China,2021-04-23,1000000
C0143,Customer 0143,Central China,2025-09-16,1000000
C0144,Customer 0144,South China,2025-09-10,1000000
C0145,Customer 0145,East China,2023-02-02,10000000
C0146,Customer 0146,West China,2024-09-01,5000000
C0147,Customer 0147,South China,2019-11-11,1000000
C0148,Customer 0148,East China,2017-04-06,2000000
C0149,Customer 0149,Central China,2023-01-26,5000000
C0150,Customer 0150,North China,2019-12-17,1000000
C0151,Customer 0151,West China,2024-01-12,500000
C0152,Customer 0152,West China,2019-01-05,500000
C0153,Customer 0153,West China,2024-04-17,2000000
C0154,Customer 0154,Export,2020-10-27,10000000
C0155,Customer 0155,Export,2025-06-18,2000000
C0156,Customer 0156,Export,2017-08-19,500000
C0157,Customer 0157,South China,2024-01-16,5000000
C0158,Customer 0158,South China,2017-08-27,10000000
C0159,Customer 0159,Export,2018-09-10,5000000
C0160,Customer 0160,North China,2024-12-06,1000000
C0161,Customer 0161,North China,2023-04-20,2000000
C0162,Customer 0162,North China,2019-04-04,2000000
C0163,Customer 0163,Export,2022-02-25,5000000
C0164,Customer 0164,Central China,2023-02-26,10000000
C0165,Customer 0165,South China,2020-07-02,1000000
C0166,Customer 0166,Central China,2024-01-17,1000000
C0167,Customer 0167,East China,2022-06-09,2000000
C0168,Customer 0168,Export,2022-11-14,5000000
C0169,Customer 0169,Export,2017-06-03,1000000
C0170,Customer 0170,North China,2017-12-11,2000000
C0171,Customer 0171,Export,2023-02-18,2000000
C0172,Customer 0172,Export,2018-07-20,500000
C0173,Customer 0173,West China,2017-03-17,1000000
C0174,Customer 0174,West China,2024-10-20,2000000
C0175,Customer 0175,East China,2023-06-04,5000000
C0176,Customer 0176,West China,2021-04-08,10000000
C0177,Customer 0177,Export,2024-03-23,1000000
C0178,Customer 0178,East China,2022-09-15,500000
C0179,Customer 0179,Export,2018-08-05,5000000
C0180,Customer 0180,West China,2020-09-28,2000000
C0181,Customer 0181,East China,2020-06-25,10000000
C0182,Customer 0182,South China,2024-06-05,1000000
C0183,Customer 0183,North China,2020-04-14,10000000
C0184,Customer 0184,North China,2020-03-15,1000000
C0185,Customer 0185,South China,2021-05-11,500000
C0186,Customer 0186,Export,2023-10-18,5000000
C0187,Customer 0187,North China,2021-09-28,10000000
C0188,Customer 0188,Export,2018-12-01,10000000
C0189,Customer 0189,South China,2017-05-01,2000000
C0190,Customer 0190,South China,2023-01-18,1000000
C0191,Customer 0191,East China,2017-04-27,10000000
C0192,Customer 0192,Export,2024-06-27,500000
C0193,Customer 0193,East China,2021-03-15,2000000
C0194,Customer 0194,South China,2020-05-24,10000000
C0195,Customer 0195,West China,2018-09-24,10000000
C0196,Customer 0196,South China,2019-10-14,500000
C0197,Customer 0197,Central China,2020-08-29,500000
C0198,Customer 0198,East China,2025-02-24,5000000
C0199,Customer 0199,West China,2019-12-12,2000000
C0200,Customer 0200,East China,2024-04-06,2000000
C0201,Customer 0201,Central China,2022-04-28,500000
C0202,Customer 0202,West China,2023-03-26,1000000
C0203,Customer 0203,Export,2021-01-09,5000000
C0204,Customer 0204,North China,2023-07-26,500000
C0205,Customer 0205,East China,2017-10-10,5000000
C0206,Customer 0206,North China,2025-09-22,2000000
C0207,Customer 0207,Export,2025-06-13,1000000
C0208,Customer 0208,North China,2018-11-21,5000000
C0209,Customer 0209,West China,2022-09-05,2000000
C0210,Customer 0210,Export,2020-08-14,5000000
C0211,Customer 0211,North China,2021-07-09,1000000
C0212,Customer 0212,Central China,2019-03-16,1000000
C0213,Customer 0213,North China,2024-09-23,2000000
C0214,Customer 0214,West China,2021-08-06,5000000
C0215,Customer 0215,South China,2019-05-22,5000000
C0216,Customer 0216,West China,2025-05-02,1000000
C0217,Customer 0217,North China,2021-11-02,2000000
C0218,Customer 0218,North China,2018-04-28,2000000
C0219,Customer 0219,North China,2021-12-26,1000000
C0220,Customer 0220,Export,2023-02-11,2000000
C0221,Customer 0221,North China,2019-08-18,1000000
C0222,Customer 0222,East China,2023-04-19,2000000
C0223,Customer 0223,West China,2020-04-17,5000000
C0224,Customer 0224,Central China,2024-02-07,5000000
C0225,Customer 0225,West China,2017-03-30,2000000
C0226,Customer 0226,Central China,2024-07-24,2000000
C0227,Customer 0227,Export,2018-01-25,5000000
C0228,Customer 0228,Export,2024-08-09,10000000
C0229,Customer 0229,South China,2022-10-18,5000000
C0230,Customer 0230,Export,2020-12-13,2000000
C0231,Customer 0231,Central China,2017-09-03,1000000
C0232,Customer 0232,North China,2017-02-13,10000000
C0233,Customer 0233,North China,2024-11-14,1000000
C0234,Customer 0234,West China,2020-09-30,10000000
C0235,Customer 0235,Central China,2021-08-26,5000000
C0236,Customer 0236,East China,2020-10-19,500000
C0237,Customer 0237,South China,2025-06-29,500000
C0238,Customer 0238,North China,2024-05-30,2000000
C0239,Customer 0239,South China,2017-03-14,5000000
C0240,Customer 0240,North China,2022-10-11,10000000
C0241,Customer 0241,North China,2024-01-26,500000
C0242,Customer 0242,Export,2023-03-27,1000000
C0243,Customer 0243,East China,2023-01-17,500000
C0244,Customer 0244,North China,2018-10-01,1000000
C0245,Customer 0245,South China,2022-03-14,10000000
C0246,Customer 0246,South China,2024-07-20,2000000
C0247,Customer 0247,West China,2017-12-12,5000000
C0248,Customer 0248,West China,2024-12-25,10000000
C0249,Customer 0249,South China,2023-04-10,500000
C0250,Customer 0250,North China,2017-04-26,5000000
C0251,Customer 0251,South China,2017-07-02,10000000
C0252,Customer 0252,West China,2025-03-27,1000000
C0253,Customer 0253,Export,2022-04-13,2000000
C0254,Customer 0254,North China,2020-11-08,2000000
C0255,Customer 0255,Central China,2023-10-21,2000000
C0256,Customer 0256,North China,2022-06-24,2000000
C0257,Customer 0257,Export,2017-05-31,5000000
C0258,Customer 0258,East China,2018-06-30,5000000
C0259,Customer 0259,North China,2021-02-08,5000000
C0260,Customer 0260,North China,2019-03-26,2000000
C0261,Customer 0261,Export,2022-09-30,5000000
C0262,Customer 0262,South China,2020-05-30,10000000
C0263,Customer 0263,Central China,2017-08-10,500000
C0264,Customer 0264,Export,2025-02-21,10000000
C0265,Customer 0265,West China,2024-08-25,2000000
C0266,Customer 0266,West China,2022-05-31,500000
C0267,Customer 0267,West China,2022-09-19,10000000
C0268,Customer 0268,Central China,2020-08-24,2000000
C0269,Customer 0269,North China,2024-05-29,2000000
C0270,Customer 0270,East China,2019-01-13,10000000
C0271,Customer 0271,North China,2018-12-16,10000000
C0272,Customer 0272,Central China,2022-11-03,500000
C0273,Customer 0273,South China,2023-11-01,500000
C0274,Customer 0274,South China,2022-03-15,1000000
C0275,Customer 0275,West China,2021-10-24,10000000
C0276,Customer 0276,West China,2018-06-03,1000000
C0277,Customer 0277,Export,2020-01-14,5000000
C0278,Customer 0278,West China,2018-07-14,2000000
C0279,Customer 0279,Export,2021-01-29,5000000
C0280,Customer 0280,West China,2022-12-22,10000000
C0281,Customer 0281,South China,2019-02-14,10000000
C0282,Customer 0282,Export,2023-03-09,1000000
C0283,Customer 0283,South China,2025-03-04,1000000
C0284,Customer 0284,West China,2024-05-14,500000
C0285,Customer 0285,East China,2024-06-23,2000000
C0286,Customer 0286,South China,2020-05-11,1000000
C0287,Customer 0287,West China,2020-01-01,2000000
C0288,Customer 0288,Central China,2018-06-09,1000000
C0289,Customer 0289,Export,2019-02-04,500000
C0290,Customer 0290,South China,2025-06-05,1000000
C0291,Customer 0291,Export,2021-08-23,10000000
C0292,Customer 0292,West China,2022-06-29,500000
C0293,Customer 0293,South China,2020-05-16,10000000
C0294,Customer 0294,West China,2021-01-31,500000
C0295,Customer 0295,Export,2022-03-23,5000000
C0296,Customer 0296,North China,2018-09-27,1000000
C0297,Customer 0297,West China,2025-01-06,500000
C0298,Customer 0298,East China,2022-04-13,500000
C0299,Customer 0299,North China,2018-01-23,10000000
C0300,Customer 0300,Export,2024-11-26,2000000
C0301,Customer 0301,East China,2020-09-08,1000000
C0302,Customer 0302,South China,2022-08-24,500000
C0303,Customer 0303,Export,2021-09-28,5000000
C0304,Customer 0304,South China,2019-03-28,1000000
C0305,Customer 0305,Export,2019-07-10,5000000
C0306,Customer 0306,North China,2019-05-22,1000000
