transaction_id,customer_id,customer_name,region,product,invoice_date,shipment_date,recognition_date,quantity,sales_amount,cost_amount,return_amount,customer_tenure_days
INV000001,C0248,Customer 0248,West China,Industrial sensor,2025-09-29,2025-09-29,2025-09-29,8,73703.38,48644.23,0,278
INV000002,C0072,Customer 0072,Central China,Control module,2025-05-31,2025-05-31,2025-05-31,9,137965.31,96575.72,0,982
INV000003,C0267,Customer 0267,West China,Robot arm,2025-03-27,2025-03-27,2025-03-27,2,375734.82,285558.46,0,920
INV000004,C0235,Customer 0235,Central China,Industrial sensor,2025-07-27,2025-07-27,2025-07-28,2,18039.9,11906.34,0,1431
INV000005,C0126,Customer 0126,North China,Industrial sensor,2025-04-11,2025-04-11,2025-04-11,5,44732.13,29523.2,0,211
INV000006,C0044,Customer 0044,North China,Control module,2025-05-11,2025-05-13,2025-05-13,1,15088.5,10561.95,0,1864
INV000007,C0282,Customer 0282,Export,Industrial sensor,2025-12-08,2025-12-10,2025-12-11,6,55397.09,36562.08,0,1005
INV000008,C0264,Customer 0264,Export,Industrial sensor,2025-11-19,2025-11-19,2025-11-19,4,35227.98,23250.47,0,271
INV000009,C0087,Customer 0087,Export,Industrial sensor,2025-11-30,2025-11-30,2025-11-30,5,40967.65,27038.65,0,2599
INV000010,C0133,Customer 0133,East China,Production cell,2025-02-06,2025-02-07,2025-02-07,12,8220747.48,6494390.51,0,560
INV000011,C0028,Customer 0028,West China,Servo drive,2025-10-05,2025-10-05,2025-10-05,4,110646.97,79665.82,0,313
INV000012,C0008,Customer 0008,East China,Inspection camera,2025-07-31,2025-08-02,2025-08-02,9,353165.33,226025.81,0,2803
INV000013,C0085,Customer 0085,Export,Control module,2025-10-14,2025-10-14,2025-10-14,9,148031.85,103622.3,0,2680
INV000014,C0336,Customer 0336,South China,Inspection camera,2025-03-28,2025-03-27,2025-03-27,2,77534.58,49622.13,0,1704
INV000015,C0291,Customer 0291,Export,Control module,2025-09-22,2025-09-22,2025-09-22,8,133894.43,93726.1,0,1491
INV000016,C0282,Customer 0282,Export,Control module,2025-03-01,2025-02-28,2025-03-01,1,16594.82,11616.37,0,723
INV000017,C0344,Customer 0344,Central China,Servo drive,2025-10-18,2025-10-17,2025-10-17,9,265026.88,190819.35,0,276
INV000018,C0122,Customer 0122,Export,Inspection camera,2025-03-01,2025-03-02,2025-03-02,4,179917.92,115147.47,0,419
INV000019,C0273,Customer 0273,South China,Industrial sensor,2025-01-06,2025-01-06,2025-01-07,6,55069.54,36345.89,0,432
