journal_id,posting_datetime,debit_account,credit_account,amount,currency,source,user_id,user_role,is_reversal,description,risk_score,risk_level,risk_reasons,period_end,weekend,late_night,round_amount,manual,management_user,rare_account_pair,reversal,suggested_procedure
JE000001,2025-03-08T12:41:00,Cash,Accounts Receivable,1744.43,CNY,automated,batch,System,False,Synthetic journal entry for audit analytics,10,Low,weekend,False,True,False,False,False,False,False,False,"Inspect journal support, preparer/approver and posting rationale"
JE000002,2025-02-22T09:39:00,Cash,Accounts Receivable,25588.35,CNY,subledger,u002,Accountant,False,Synthetic journal entry for audit analytics,10,Low,weekend,False,True,False,False,False,False,False,False,"Inspect journal support, preparer/approver and posting rationale"
JE000003,2025-11-04T15:46:00,Cash,Inventory,996949.71,CNY,automated,batch,System,False,Synthetic journal entry for audit analytics,0,Low,,False,False,False,False,False,False,False,False,"Inspect journal support, preparer/approver and posting rationale"
JE000004,2025-06-28T15:01:00,Accounts Receivable,Inventory,365441.43,CNY,automated,batch,System,False,Synthetic journal entry for audit analytics,10,Low,weekend,False,True,False,False,False,False,False,False,"Inspect journal support, preparer/approver and posting rationale"
JE000005,2025-06-04T14:11:00,Accounts Receivable,Accounts Receivable,13354.25,CNY,subledger,u003,Senior Accountant,False,Synthetic journal entry for audit analytics,0,Low,,False,False,False,False,False,False,False,False,"Inspect journal support, preparer/approver and posting rationale"
JE000006,2025-01-27T16:18:00,Accounts Receivable,Inventory,100410.04,CNY,automated,batch,System,False,Synthetic journal entry for audit analytics,0,Low,,False,False,False,False,False,False,False,False,"Inspect journal support, preparer/approver and posting rationale"
JE000007,2025-07-27T13:58:00,Cash,Revenue,4100.57,CNY,manual,u001,Accountant,False,Synthetic journal entry for audit analytics,22,Medium,weekend; manual,False,True,False,False,True,False,False,False,"Inspect journal support, preparer/approver and posting rationale"
JE000008,2025-10-29T15:22:00,Cash,Inventory,1311144.38,CNY,subledger,u002,Accountant,False,Synthetic journal entry for audit analytics,0,Low,,False,False,False,False,False,False,False,False,"Inspect journal support, preparer/approver and posting rationale"
JE000009,2025-04-02T18:30:00,Cash,Accounts Receivable,1328339.17,CNY,manual,u001,Accountant,False,Synthetic journal entry for audit analytics,12,Low,manual,False,False,False,False,True,False,False,False,"Inspect journal support, preparer/approver and posting rationale"
JE000010,2025-08-01T14:52:00,Sales Returns,Inventory,81614.3,CNY,subledger,u001,Accountant,False,Synthetic journal entry for audit analytics,0,Low,,False,False,False,False,False,False,False,False,"Inspect journal support, preparer/approver and posting rationale"
JE000011,2025-11-17T09:15:00,Accounts Receivable,Inventory,59063.37,CNY,subledger,u004,Controller,False,Synthetic journal entry for audit analytics,15,Medium,management user,False,False,False,False,False,True,False,False,"Inspect journal support, preparer/approver and posting rationale"
JE000012,2025-07-17T15:25:00,Accounts Receivable,Inventory,2505.77,CNY,manual,u003,Senior Accountant,False,Synthetic journal entry for audit analytics,12,Low,manual,False,False,False,False,True,False,False,False,"Inspect journal support, preparer/approver and posting rationale"
JE000013,2025-02-23T10:09:00,Cash,Accounts Receivable,1159548.25,CNY,automated,batch,System,False,Synthetic journal entry for audit analytics,10,Low,weekend,False,True,False,False,False,False,False,False,"Inspect journal support, preparer/approver and posting rationale"
JE000014,2025-11-21T17:35:00,Cash,Inventory,86331.35,CNY,manual,u002,Accountant,False,Synthetic journal entry for audit analytics,12,Low,manual,False,False,False,False,True,False,False,False,"Inspect journal support, preparer/approver and posting rationale"
JE000015,2025-07-06T11:24:00,Cash,Inventory,1956.58,CNY,subledger,u003,Senior Accountant,False,Synthetic journal entry for audit analytics,10,Low,weekend,False,True,False,False,False,False,False,False,"Inspect journal support, preparer/approver and posting rationale"
JE000016,2025-02-01T10:40:00,Accounts Receivable,Inventory,565753.38,CNY,subledger,u002,Accountant,False,Synthetic journal entry for audit analytics,10,Low,weekend,False,True,False,False,False,False,False,False,"Inspect journal support, preparer/approver and posting rationale"
JE000017,2025-11-01T08:58:00,Accounts Receivable,Revenue,5882.47,CNY,subledger,u001,Accountant,False,Synthetic journal entry for audit analytics,10,Low,weekend,False,True,False,False,False,False,False,False,"Inspect journal support, preparer/approver and posting rationale"
JE000018,2025-10-13T13:56:00,Sales Returns,Revenue,2320.65,CNY,manual,u002,Accountant,False,Synthetic journal entry for audit analytics,12,Low,manual,False,False,False,False,True,False,False,False,"Inspect journal support, preparer/approver and posting rationale"
